dataset,optimizer,hidden_dim,params,n_runs,mean_final_test_loss,std_final_test_loss,mean_time_sec,mean_accuracy,std_accuracy,mean_f1_weighted,std_f1_weighted,opt_target_loss,target_delta,mean_time_to_target_sec,std_time_to_target_sec,n_reached_target,mean_mse,std_mse,mean_r2,std_r2
iris,sgd,16,"{'lr': 0.01, 'momentum': 0.9}",3,0.12126309672991435,0.0060431467237593425,0.12535222371419272,0.9420289855072465,0.020495848730044893,0.941455229434769,0.021066134717118004,0.1150092114508152,0.02,0.11646795272827148,0.0,1,,,,
iris,scg,16,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.10313207407792409,0.004093220087334975,0.052522738774617515,0.9565217391304349,1.1102230246251565e-16,0.9563512361466325,0.0,0.10068183705210686,0.02,0.04156911373138428,0.007856965065002441,2,,,,
iris,lfrog,16,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.16376541803280512,0.04141211378717756,0.02720030148824056,0.9420289855072465,0.020495848730044893,0.9419153168513782,0.020415472852672138,0.05874909974634648,0.02,0.010573148727416992,0.0,1,,,,
stroke,sgd,4,"{'lr': 0.01, 'momentum': 0.9}",3,0.14988259971141815,0.0022096875402520502,4.017301718393962,0.9521946979574097,0.0006146082409270682,0.9301035713149007,0.001352416559098104,0.14857236206531524,0.02,0.18687876065572104,0.07881285014000397,3,,,,
stroke,scg,4,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.14695153137048086,0.0006041574928909559,0.14986777305603027,0.9517601043024772,0.0,0.9282363074693499,0.0,0.14761803567409515,0.02,0.06013751029968262,0.024051427841186523,2,,,,
stroke,lfrog,4,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.15024145444234213,0.000676583242894902,0.07650025685628255,0.9517601043024772,0.0,0.9290504310835774,0.0011513446566887352,0.1496642106771469,0.02,0.04691672325134277,0.009924656105901158,3,,,,
sine,sgd,16,"{'lr': 0.01, 'momentum': 0.9}",3,0.010981552923719088,0.0002471827889547685,0.6607038974761963,,,,,0.00918168481439352,0.02,0.2833378314971924,0.0,1,0.01098155261327823,0.000247182590230103,0.9790458877881368,0.0004716616270402793
sine,scg,16,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.06677803645531337,0.07997101163971813,0.042475620905558266,,,,,0.009499110281467438,0.02,0.03958296775817871,0.0,1,0.06677803645531337,0.07997101164601521,0.8725795348485311,0.1525942445136049
sine,lfrog,16,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.009683063564201197,0.0004816750452802996,0.026985804239908855,,,,,0.009211023990064859,0.02,0.024116039276123047,0.0,1,0.009683063253760338,0.0004816746437080369,0.9815235535303751,0.0009191039089064174
wine,sgd,8,"{'lr': 0.01, 'momentum': 0.9}",3,0.549745241800944,0.022795496517365284,4.246676683425903,,,,,0.5181715071201325,0.02,1.3223766088485718,0.36352431774139404,2,0.5497452616691589,0.02279551288928865,0.29320865869522095,0.02930752571217057
wine,scg,8,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.5631763140360514,0.01773734244416205,0.12784036000569662,,,,,0.5527891695499421,0.02,0.036208510398864746,0.0007864236831665039,2,0.5631763140360514,0.01773739074787815,0.27594075600306195,0.022804434294152576
wine,lfrog,8,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.5255928834279379,0.0073378506075547885,0.06018765767415365,,,,,0.5242095959186555,0.02,0.04710555076599121,0.00042748451232910156,2,0.5255928834279379,0.0073378506075547885,0.3242606520652771,0.00943406010402278
california,sgd,64,"{'lr': 0.01, 'momentum': 0.9}",3,0.3700939913590749,0.0678638217643431,6.845735232035319,,,,,0.2662512570619583,0.02,3.5616318384806314,1.4969499629884189,3,0.3700939913590749,0.0678638217643431,0.7303094665209452,0.04945291456733893
california,scg,64,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.4089287221431732,0.08112830018999548,0.3624393145243327,,,,,0.32089445292949675,0.02,0.15269112586975098,0.0,1,0.4089287221431732,0.08112830018999548,0.7020102739334106,0.05911886154574673
california,lfrog,64,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.28947028517723083,0.014666775876714487,0.20329753557840982,,,,,0.27941949605941774,0.02,0.17658281326293945,0.0,1,0.28990040222803753,0.015245782817081471,0.7887471914291382,0.011109710369767226
mnist,sgd,64,"{'lr': 0.01, 'momentum': 0.9}",3,0.2673582633336385,0.007661408773288261,16.75738223393758,0.9495555555555555,0.002572408200620058,0.9494689230255831,0.002587780500773251,0.205720611512661,0.02,2.8119300603866577,0.521225094795227,2,,,,
mnist,scg,64,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.2438974380493164,0.011365001400265114,1.4491756757100422,0.9431111111111111,0.004878777422244462,0.9429556799902904,0.004914793754286632,0.22558431923389435,0.02,0.6903688907623291,0.0,1,,,,
mnist,lfrog,64,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.32460938890775043,0.055359657571824455,0.7525284290313721,0.9371111111111111,0.005820355934981689,0.9369633093922011,0.005822528064947321,0.2544881522655487,0.02,0.7009360790252686,0.0,1,,,,
